,lat,lon,diam,radius
5200,23.60703,-49.285661,28.628495,14.3142475 Kilometer
5227,11.878945,-44.483276,28.486142,14.243071 Kilometer
5229,20.336907,-22.727968,28.483839,14.2419195 Kilometer
5252,5.807114,-51.485661,28.362338,14.181169 Kilometer
5253,23.446238,-41.469086,28.359535,14.1797675 Kilometer
5281,24.40703,-35.585661,28.266901,14.1334505 Kilometer
5322,14.401636,-31.725032,28.047352,14.023676 Kilometer
5347,9.91921,-61.48966,27.934224,13.967112 Kilometer
5350,16.73235,-42.035754,27.928331,13.9641655 Kilometer
5355,12.370733,-29.081311,27.914943,13.9574715 Kilometer
5376,-7.214569,-72.401461,27.8492,13.9246 Kilometer
5377,7.707107,-69.785661,27.846378,13.923189 Kilometer
5384,23.731042,-53.807661,27.82299,13.911495 Kilometer
5398,23.718695,-44.980459,27.753809,13.8769045 Kilometer
5429,2.042951,-54.884142,27.637458,13.818729 Kilometer
5431,21.000104,-63.534568,27.630991,13.8154955 Kilometer
5441,5.207117,-66.05335,27.593309,13.7966545 Kilometer
5450,34.685049,-58.133653,27.549275,13.7746375 Kilometer
5470,29.853344,-47.03403,27.448844,13.724422 Kilometer
5489,-2.597749,-39.692905,27.368873,13.6844365 Kilometer
5497,6.949306,-45.964468,27.29947,13.649735 Kilometer
5550,11.814818,-66.75612,27.065262,13.532631 Kilometer
5578,32.262719,-22.486097,26.916389,13.4581945 Kilometer
5595,17.614543,-69.410508,26.861935,13.4309675 Kilometer
5599,5.542116,-28.258053,26.851944,13.425972 Kilometer
5604,5.356822,-60.318252,26.833784,13.416892 Kilometer
5626,16.749412,-69.099481,26.765971,13.3829855 Kilometer
5627,4.851603,-32.968136,26.765519,13.3827595 Kilometer
5635,1.745336,-33.421418,26.73186,13.36593 Kilometer
5643,-4.635868,-43.640917,26.673202,13.336601 Kilometer
5651,9.94008,-69.312901,26.634279,13.3171395 Kilometer
5664,0.674206,-57.807739,26.592846,13.296423 Kilometer
5675,-3.209266,-26.659895,26.55301,13.276505 Kilometer
5676,12.505122,-52.651932,26.551692,13.275846 Kilometer
5681,10.394042,-71.653597,26.529504,13.264752 Kilometer
5699,28.333165,-41.835859,26.462832,13.231416 Kilometer
5705,24.978825,-38.332785,26.437172,13.218586 Kilometer
5711,15.578471,-21.384947,26.415691,13.2078455 Kilometer
5720,4.10508,-71.654508,26.370783,13.1853915 Kilometer
5728,23.175384,-68.523222,26.347738,13.173869 Kilometer
5731,21.870592,-61.126973,26.323991,13.1619955 Kilometer
5732,19.340218,-53.31632,26.316619,13.1583095 Kilometer
5748,9.631778,-45.106929,26.290894,13.145447 Kilometer
5762,32.233219,-48.563731,26.249084,13.124542 Kilometer
5804,10.427513,-27.229455,26.091072,13.045536 Kilometer
5825,28.774807,-57.255798,26.007882,13.003941 Kilometer
5827,25.673743,-68.570649,25.996023,12.9980115 Kilometer
5833,29.444369,-67.446215,25.975899,12.9879495 Kilometer
5870,23.022808,-41.15626,25.856067,12.9280335 Kilometer
5883,33.61311,-36.327188,25.776427,12.8882135 Kilometer
5900,25.646004,-40.195385,25.721024,12.860512 Kilometer
5901,-9.41073,-40.620946,25.717432,12.858716 Kilometer
5917,34.007005,-50.285662,25.663124,12.831562 Kilometer
5941,4.665272,-24.185226,25.557052,12.778526 Kilometer
5986,-5.835939,-46.452536,25.382279,12.6911395 Kilometer
5999,7.809994,-49.744713,25.32683,12.663415 Kilometer
6003,33.907009,-41.585661,25.315151,12.6575755 Kilometer
6004,6.140029,-66.70326,25.314352,12.657176 Kilometer
6036,18.292057,-26.043877,25.210326,12.605163 Kilometer
6047,9.287783,-66.790532,25.132903,12.5664515 Kilometer
6052,27.543469,-59.966278,25.099439,12.5497195 Kilometer
6094,18.744754,-28.881347,24.916634,12.458317 Kilometer
6095,3.036622,-40.267637,24.915162,12.457581 Kilometer
6111,-8.181575,-61.046348,24.841273,12.4206365 Kilometer
6150,17.836076,-45.177606,24.69617,12.348085 Kilometer
6162,7.399922,-59.040787,24.658297,12.3291485 Kilometer
6165,3.183184,-32.037838,24.647661,12.3238305 Kilometer
6171,6.507117,-74.685661,24.63013,12.315065 Kilometer
6204,30.782417,-27.559195,24.509237,12.2546185 Kilometer
6211,7.648777,-40.460755,24.496573,12.2482865 Kilometer
6224,26.447232,-63.158599,24.446819,12.2234095 Kilometer
6248,35.150913,-73.717276,24.358214,12.179107 Kilometer
6270,-0.771323,-59.790529,24.284951,12.1424755 Kilometer
6293,-0.121109,-71.898972,24.175463,12.0877315 Kilometer
6328,27.480079,-69.890346,24.038096,12.019048 Kilometer
6337,-6.526727,-61.209814,23.999024,11.999512 Kilometer
6339,-2.104873,-66.411172,23.997554,11.998777 Kilometer
6350,-3.645345,-68.419077,23.978533,11.9892665 Kilometer
6353,13.686517,-40.403238,23.972593,11.9862965 Kilometer
6377,4.744681,-46.137063,23.869111,11.9345555 Kilometer
6378,3.171718,-46.321792,23.866988,11.933494 Kilometer
6379,5.970516,-47.854338,23.861963,11.9309815 Kilometer
6393,27.657791,-28.32005,23.829159,11.9145795 Kilometer
6399,11.860774,-25.530513,23.817338,11.908669 Kilometer
6402,4.192906,-29.907954,23.803139,11.9015695 Kilometer
6403,-3.692851,-43.585661,23.800797,11.9003985 Kilometer
6442,33.583836,-61.347449,23.673371,11.8366855 Kilometer
6457,33.116655,-45.529261,23.610946,11.805473 Kilometer
6472,0.623283,-27.035125,23.583537,11.7917685 Kilometer
6477,15.41925,-39.84791,23.563769,11.7818845 Kilometer
6489,16.081905,-70.885789,23.508265,11.7541325 Kilometer
6499,32.350238,-24.343462,23.494248,11.747124 Kilometer
6514,14.994572,-61.929803,23.464,11.732 Kilometer
6517,32.347534,-23.627728,23.45336,11.72668 Kilometer
6523,33.886828,-43.506786,23.434409,11.7172045 Kilometer
6532,16.35904,-68.166153,23.414704,11.707352 Kilometer
6544,14.406774,-43.3972,23.369242,11.684621 Kilometer
6565,17.12602,-25.461151,23.297656,11.648828 Kilometer
