OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
159,0,159,1,24.428086,-41.549063,52.368109,26.1840545 Kilometer,26184.0545,158,,,,,4.056122338,1.304743395
160,0,160,1,12.557704,-62.738062,52.24836,26.12418 Kilometer,26124.18,159,,,,,3.902486787,1.211496757
161,0,161,1,34.650055,-64.84046,51.866209,25.9331045 Kilometer,25933.1045,160,,,,,4.249502522,1.416516552
162,1,162,1,35.474172,-34.62126,51.449402,25.724701 Kilometer,25724.701,161,8065,35.508,-34.55,0.17,4.239875283,1.407983628
163,0,163,1,11.874968,-72.055258,51.10227,25.551135 Kilometer,25551.135,162,,,,,3.811872275,1.155936411
164,0,164,1,23.837126,-57.449362,50.894779,25.4473895 Kilometer,25447.3895,163,,,,,3.932279497,1.22667053
165,0,165,1,33.465553,-66.137861,50.533192,25.266596 Kilometer,25266.596,164,,,,,4.107415975,1.325968732
166,0,166,1,33.560056,-28.701193,50.446344,25.223172 Kilometer,25223.172,165,,,,,4.102900518,1.322859037
167,0,167,1,36.184855,-51.45046,50.387156,25.193578 Kilometer,25193.578,166,,,,,4.173882806,1.362583669
168,0,168,1,24.606837,-28.585661,50.384551,25.1922755 Kilometer,25192.2755,167,,,,,3.905451059,1.209482581
169,0,169,1,18.528949,-37.17016,50.365127,25.1825635 Kilometer,25182.5635,168,,,,,3.81839957,1.158868016
170,0,170,1,10.707025,-39.785662,50.231975,25.1159875 Kilometer,25115.9875,169,,,,,3.739221394,1.112358852
171,0,171,1,8.807022,-53.785662,50.160413,25.0802065 Kilometer,25080.2065,170,,,,,3.723144975,1.102883941
172,0,172,1,8.607026,-65.685659,50.102661,25.0513305 Kilometer,25051.3305,171,,,,,3.717855776,1.099757714
173,0,173,1,2.025651,-45.801661,50.00062,25.00031 Kilometer,25000.31,172,,,,,3.690396102,1.083624451
174,0,174,1,-7.392765,-34.285661,49.70768,24.85384 Kilometer,24853.84,173,,,,,3.683013236,1.079263101
175,0,175,1,24.606798,-48.385661,49.496976,24.748488 Kilometer,24748.488,174,,,,,3.836648113,1.167240796
176,1,176,1,22.079403,-53.941642,48.833324,24.416662 Kilometer,24416.662,175,1014,21.875,-53.965,271.312,3.747046238,1.114717334
177,0,177,1,4.907077,-67.085661,48.651028,24.325514 Kilometer,24325.514,176,,,,,3.596260664,1.029036476
178,0,178,1,-8.248158,-67.605846,48.601892,24.300946 Kilometer,24300.946,177,,,,,3.604795085,1.033889583
179,0,179,1,29.725987,-73.787978,48.339033,24.1695165 Kilometer,24169.5165,178,,,,,3.841639906,1.165537953
180,0,180,1,24.900792,-44.371451,47.624018,23.812009 Kilometer,23812.009,179,,,,,3.696144259,1.083123403
181,0,181,1,9.340723,-71.666758,47.616242,23.808121 Kilometer,23808.121,180,,,,,3.536946206,0.995308485
182,0,182,1,0.784127,-65.279588,47.579517,23.7897585 Kilometer,23789.7585,181,,,,,3.510755539,0.980688455
183,0,183,1,32.806702,-43.485661,47.566645,23.7833225 Kilometer,23783.3225,182,,,,,3.849875422,1.166052553
184,1,184,1,18.47891,-32.868335,46.949182,23.474591 Kilometer,23474.591,183,8206,18.438,-32.69,1.402,3.558863895,1.006688916
185,1,185,1,1.854916,-61.609748,46.740438,23.370219 Kilometer,23370.219,184,1081,2.122,-61.3,1.191,3.449578364,0.94680441
186,0,186,1,1.647076,-44.297508,46.562916,23.281458 Kilometer,23281.458,185,,,,,3.436286073,0.939521846
187,0,187,1,22.53363,-38.464377,46.536111,23.2680555 Kilometer,23268.0555,186,,,,,3.576914828,1.015590001
188,0,188,1,16.338568,-72.949986,46.213213,23.1066065 Kilometer,23106.6065,187,,,,,3.481893125,0.964011559
